Date,Open,High,Low,Close,Volume
2026-02-11 14:27:00,2915.5,2916.0,2915.2,2915.6,12359
2026-02-11 14:28:00,2915.5,2916.0,2915.3,2915.6,11128
2026-02-11 14:29:00,2915.6,2915.9,2913.6,2914.5,20040
2026-02-11 14:30:00,2914.5,2915.0,2912.5,2913.0,19635
2026-02-11 14:31:00,2913.0,2913.9,2911.8,2913.2,9948
2026-02-11 14:32:00,2913.4,2914.4,2913.2,2914.0,7336
2026-02-11 14:33:00,2914.0,2914.3,2913.7,2914.0,7130
2026-02-11 14:34:00,2913.8,2914.8,2913.7,2914.6,5794
2026-02-11 14:35:00,2915.0,2915.7,2913.5,2914.2,9006
2026-02-11 14:36:00,2914.1,2914.2,2911.5,2912.4,17401
2026-02-11 14:37:00,2912.0,2912.9,2911.4,2912.0,8654
2026-02-11 14:38:00,2912.2,2912.9,2911.4,2912.3,10931
2026-02-11 14:39:00,2912.2,2913.6,2911.7,2912.9,10189
2026-02-11 14:40:00,2913.1,2913.6,2912.0,2912.1,8590
2026-02-11 14:41:00,2912.1,2912.9,2910.2,2912.1,12565
2026-02-11 14:42:00,2913.0,2913.0,2911.9,2912.0,6092
2026-02-11 14:43:00,2911.9,2912.3,2911.1,2911.4,5582
2026-02-11 14:44:00,2911.5,2912.6,2911.3,2912.2,7121
2026-02-11 14:45:00,2911.8,2912.9,2911.5,2912.1,6468
2026-02-11 14:46:00,2912.1,2914.7,2911.4,2914.2,10670
2026-02-11 14:47:00,2914.2,2914.2,2912.1,2912.2,9529
2026-02-11 14:48:00,2912.2,2913.4,2910.9,2911.0,11808
2026-02-11 14:49:00,2911.0,2913.6,2910.1,2912.5,15950
2026-02-11 14:50:00,2912.4,2914.1,2912.2,2914.0,6700
2026-02-11 14:51:00,2913.6,2915.8,2913.5,2914.8,12442
2026-02-11 14:52:00,2914.7,2915.5,2914.0,2914.0,8158
2026-02-11 14:53:00,2914.8,2916.7,2914.6,2916.0,12253
2026-02-11 14:54:00,2915.9,2915.9,2914.3,2915.1,9725
2026-02-11 14:55:00,2915.1,2915.7,2914.5,2915.1,7114
2026-02-11 14:56:00,2915.1,2915.4,2914.3,2915.0,6815
2026-02-11 14:57:00,2915.1,2916.7,2914.7,2915.2,8230
2026-02-11 14:58:00,2915.4,2915.9,2915.1,2915.1,7526
2026-02-11 14:59:00,2915.2,2915.2,2912.9,2913.7,15188
2026-02-11 15:00:00,2914.5,2918.0,2914.5,2915.1,27572
2026-02-11 15:01:00,2915.3,2916.9,2915.3,2915.6,13972
2026-02-11 15:02:00,2915.7,2915.7,2914.1,2914.2,14306
2026-02-11 15:03:00,2914.2,2914.2,2911.1,2911.3,28606
2026-02-11 15:04:00,2911.4,2912.0,2911.1,2911.1,21963
2026-02-11 15:05:00,2911.3,2911.3,2910.6,2910.6,21481
2026-02-11 15:06:00,2910.7,2911.5,2910.7,2911.0,21270
2026-02-11 15:07:00,2911.2,2911.7,2909.1,2909.3,49934
2026-02-11 15:08:00,2909.9,2911.5,2908.1,2911.1,38325
2026-02-11 15:09:00,2911.0,2911.1,2908.8,2910.7,32803
2026-02-11 15:10:00,2910.5,2910.6,2908.0,2909.1,20240
2026-02-11 15:11:00,2909.1,2910.2,2908.2,2910.2,18873
2026-02-11 15:12:00,2910.4,2911.1,2910.2,2911.0,21109
2026-02-11 15:13:00,2911.0,2912.0,2910.0,2910.6,27470
2026-02-11 15:14:00,2910.6,2911.3,2910.0,2910.3,17544
